dim_production_location_id,country_code,country_name,dim_production_id,production_code,production_name,dim_auditorium_id,production_location_id,sales_start_date,production_location_premiere_date,production_location_start_date,production_location_end_date,production_location_derniere_date,is_expired,production_location_capacity,production_location_description,production_location_type,show_in_group_sales_reporting,show_in_group_salesreporting_name
124,RU,Russia,54,BB,Красавица и Чудовище,25,RU - BB - ROS - 1,2014-05-16 00:00:00.000,2014-10-18 00:00:00.000,2014-10-19 00:00:00.000,2015-05-31 00:00:00.000,2015-05-31 00:00:00.000,1,1753,_N/A,Sit Down,1,Yes
125,RU,Russia,55,SITR,Поющие под дождем,25,RU - SITR - ROS - 1,2015-04-15 00:00:00.000,2015-10-03 00:00:00.000,2015-10-04 00:00:00.000,2016-05-28 00:00:00.000,2016-05-28 00:00:00.000,1,1753,_N/A,Sit Down,1,Yes
126,RU,Russia,56,CIN,Золушка,25,RU - CIN - ROS - 1,2016-04-04 00:00:00.000,2016-10-01 00:00:00.000,2016-10-02 00:00:00.000,,,0,1753,_N/A,Sit Down,0,No
127,RU,Russia,57,TDV,Бал Вампиров,24,RU - TDV - MDM - 1,2016-05-12 00:00:00.000,2016-10-29 00:00:00.000,2016-10-30 00:00:00.000,,,0,1808,_N/A,Sit Down,1,Yes
128,FR,France,37,BDV,Le Bal des Vampires,23,FR - BDV - TMO - 1,2014-01-03 00:00:00.000,2014-10-16 00:00:00.000,2014-10-10 00:00:00.000,2015-03-08 00:00:00.000,2015-03-08 00:00:00.000,1,1596,Théâtre Mogador,Sit Down,1,Yes
129,FR,France,38,BEB,La Belle et la Bête,23,FR - BEB - TMO - 1,2013-05-14 00:00:00.000,2010-10-24 00:00:00.000,2013-10-13 00:00:00.000,2014-07-27 00:00:00.000,2014-07-27 00:00:00.000,1,1596,Théâtre Mogador,Sit Down,1,Yes
130,FR,France,39,CAT,Cats,23,FR - CAT - TMO - 1,2015-02-17 00:00:00.000,2015-10-01 00:00:00.000,2015-09-20 00:00:00.000,2016-07-03 00:00:00.000,2016-07-03 00:00:00.000,1,1596,Théâtre Mogador,Sit Down,1,Yes
131,FR,France,40,FDO,Le Fantôme de l'Opéra,23,FR - FDO - TMO - 1,2016-02-10 00:00:00.000,2016-10-13 00:00:00.000,2016-10-04 00:00:00.000,2017-08-20 00:00:00.000,2017-08-20 00:00:00.000,1,1596,Théâtre Mogador,Sit Down,0,No
132,NL,Netherlands,41,TLK,Disney's The Lion King,26,NL - TLK - ACT - 1,2016-02-16 00:00:00.000,2016-10-30 00:00:00.000,2016-10-21 00:00:00.000,2019-07-21 00:00:00.000,2019-07-21 00:00:00.000,1,1794,_N/A,Sit Down,1,Yes
133,NL,Netherlands,42,TBG,The Bodyguard,27,NL - TBG - BTU - 1,2015-04-29 00:00:00.000,2015-09-27 00:00:00.000,2015-09-12 00:00:00.000,2017-07-16 00:00:00.000,2017-07-16 00:00:00.000,1,1547,_N/A,Sit Down,1,Yes
134,NL,Netherlands,43,BTB,Disney's Beauty And The Beast,26,NL - BTB - ACT - 1,2015-09-16 00:00:00.000,2015-12-13 00:00:00.000,2015-12-03 00:00:00.000,2016-09-04 00:00:00.000,2016-09-04 00:00:00.000,1,1869,_N/A,Sit Down,1,Yes
135,NL,Netherlands,44,BE,Billy Elliot,26,NL - BE - ACT - 1,2014-10-01 00:00:00.000,2014-11-30 00:00:00.000,2014-11-04 00:00:00.000,2015-11-07 00:00:00.000,2015-11-07 00:00:00.000,1,1869,_N/A,Sit Down,1,Yes
136,NL,Netherlands,45,MOE,Moeder Ik Wil Bij De Revue,27,NL - MOE - BTU - 1,2014-03-21 00:00:00.000,2014-09-21 00:00:00.000,2014-09-09 00:00:00.000,2015-08-09 00:00:00.000,2015-08-09 00:00:00.000,1,1542,_N/A,Sit Down,1,Yes
137,ES,Spain,47,LMT,"Los Miserables, Tour II",28,ES - LMT - FBS - 2,2014-06-17 00:00:00.000,2016-12-27 00:00:00.000,2016-12-27 00:00:00.000,2014-12-14 00:00:00.000,2014-12-14 00:00:00.000,1,2167,_N/A,Tour,0,No
138,ES,Spain,49,SAT,"Sister Act, Tour",28,ES - SAT - FBS - 1,2015-05-14 00:00:00.000,,,2015-11-29 00:00:00.000,2015-11-29 00:00:00.000,1,2167,_N/A,Tour,0,No
139,ES,Spain,52,MMT,Mamma Mía! Tour,28,ES - MMT - FBS - 1,2015-12-02 00:00:00.000,,,2016-03-20 00:00:00.000,2016-03-20 00:00:00.000,1,2167,_N/A,Tour,0,No
140,ES,Spain,49,SAT,"Sister Act, Tour",29,ES - SAT - AVV - 1,2015-04-14 00:00:00.000,2015-10-29 00:00:00.000,2015-10-30 00:00:00.000,2015-11-01 00:00:00.000,2015-11-01 00:00:00.000,1,,,_UNK,0,No
141,ES,Spain,52,MMT,Mamma Mía! Tour,30,ES - MMT - APM - 1,1899-12-31 00:00:00.000,,,1899-12-31 00:00:00.000,1899-12-31 00:00:00.000,0,1561,_N/A,Tour,0,No
142,ES,Spain,49,SAT,"Sister Act, Tour",31,ES - SAT - CAEM - 1,2015-05-14 00:00:00.000,,,2015-12-06 00:00:00.000,2015-12-06 00:00:00.000,1,1197,_N/A,Tour,0,No
143,ES,Spain,52,MMT,Mamma Mía! Tour,31,ES - MMT - CAEM - 1,2016-04-19 00:00:00.000,,,2016-09-18 00:00:00.000,2016-09-18 00:00:00.000,0,1197,_N/A,Tour,0,No
144,ES,Spain,52,MMT,Mamma Mía! Tour,33,ES - MMT - GTC - 1,2016-02-16 00:00:00.000,,,2016-10-02 00:00:00.000,2016-10-02 00:00:00.000,0,899,_N/A,Tour,0,No
145,ES,Spain,50,SAM,"Sister Act, Madrid",34,ES - SAM - NTA - 1,2015-12-17 00:00:00.000,,,2016-05-15 00:00:00.000,2016-05-15 00:00:00.000,1,1080,_N/A,Tour,0,No
146,ES,Spain,52,MMT,Mamma Mía! Tour,35,ES - MMT - PEG - 1,2015-10-01 00:00:00.000,,,2016-05-22 00:00:00.000,2016-05-22 00:00:00.000,1,1663,_N/A,Tour,0,No
147,ES,Spain,52,MMT,Mamma Mía! Tour,36,ES - MMT - PDO - 1,2016-01-26 00:00:00.000,,,2016-11-27 00:00:00.000,2016-11-27 00:00:00.000,0,1466,_N/A,Tour,0,No
148,ES,Spain,52,MMT,Mamma Mía! Tour,37,ES - MMT - TPV - 1,2016-04-13 00:00:00.000,,,2016-11-20 00:00:00.000,2016-11-20 00:00:00.000,0,906,_N/A,Tour,0,No
149,ES,Spain,49,SAT,"Sister Act, Tour",37,ES - SAT - TPV - 1,2015-09-10 00:00:00.000,2014-10-23 00:00:00.000,2014-10-24 00:00:00.000,2016-03-06 00:00:00.000,2016-03-06 00:00:00.000,1,906,_N/A,Tour,0,No
150,ES,Spain,51,MMB,Mamma Mía! Barcelona,38,ES - MMB - TTB - 1,2015-05-07 00:00:00.000,,,2016-02-27 00:00:00.000,2016-02-27 00:00:00.000,1,1437,_N/A,Tour,0,No
151,ES,Spain,48,SAB,"Sister Act, Barcelona",38,ES - SAB - TTB - 1,2014-03-31 00:00:00.000,2016-11-30 00:00:00.000,2016-12-01 00:00:00.000,2015-05-10 00:00:00.000,2015-05-10 00:00:00.000,0,1437,_N/A,Tour,0,No
152,ES,Spain,49,SAT,"Sister Act, Tour",39,ES - SAT - TCV - 1,2015-05-14 00:00:00.000,2015-11-26 00:00:00.000,2015-11-27 00:00:00.000,2015-12-20 00:00:00.000,2015-12-20 00:00:00.000,1,930,_N/A,Tour,0,No
153,ES,Spain,52,MMT,Mamma Mía! Tour,39,ES - MMT - TCV - 1,2016-03-01 00:00:00.000,,,2016-12-18 00:00:00.000,2016-12-18 00:00:00.000,0,930,_N/A,Tour,0,No
154,ES,Spain,52,MMT,Mamma Mía! Tour,40,ES - MMT - TLL - 1,2015-10-01 00:00:00.000,2016-05-05 00:00:00.000,2016-05-05 00:00:00.000,2016-05-08 00:00:00.000,2016-05-08 00:00:00.000,1,,,_UNK,0,No
155,ES,Spain,46,ERL,"El Rey León, el musical",41,ES - ERL - LDV - 1,2011-03-02 00:00:00.000,2011-10-20 00:00:00.000,2011-11-21 00:00:00.000,2020-07-31 00:00:00.000,2020-07-31 00:00:00.000,0,1443,_N/A,Sit Down,1,Yes
156,ES,Spain,52,MMT,Mamma Mía! Tour,35,ES - MMG - PEG - 1,2015-10-01 00:00:00.000,2015-10-22 00:00:00.000,2015-10-22 00:00:00.000,2016-05-22 00:00:00.000,2016-05-22 00:00:00.000,1,1663,_N/A,Tour,0,No
157,DE,Germany,59,GEF,Gefährten,9,DE - GEF - TDW - 1,2012-05-07 00:00:00.000,2013-10-20 00:00:00.000,2013-10-22 00:00:00.000,2014-09-28 00:00:00.000,2014-09-28 00:00:00.000,1,1226,_N/A,Sit Down,1,Yes
158,DE,Germany,60,3M,3 Musketiere,9,DE - 3M - TDW - 1,2004-09-29 00:00:00.000,2005-04-06 00:00:00.000,2005-04-08 00:00:00.000,2006-06-25 00:00:00.000,2006-06-25 00:00:00.000,1,1600,_N/A,Sit Down,1,Yes
159,DE,Germany,60,3M,3 Musketiere,2,DE - 3M - APO - 1,2006-02-27 00:00:00.000,2006-11-12 00:00:00.000,2006-11-15 00:00:00.000,2008-01-27 00:00:00.000,2008-01-27 00:00:00.000,1,1814,_N/A,Sit Down,1,Yes
160,DE,Germany,61,WI,Wicked - Die Hexen von Oz,11,DE - WI - MET - 1,2009-05-13 00:00:00.000,2010-03-08 00:00:00.000,2010-03-10 00:00:00.000,2011-09-02 00:00:00.000,2011-09-02 00:00:00.000,1,1630,_N/A,Sit Down,1,Yes
161,DE,Germany,61,WI,Wicked - Die Hexen von Oz,12,DE - WI - PAL - 1,2007-03-02 00:00:00.000,2007-11-15 00:00:00.000,2007-11-17 00:00:00.000,2010-01-29 00:00:00.000,2010-01-29 00:00:00.000,1,1785,_N/A,Sit Down,1,Yes
162,DE,Germany,62,WWR,We Will Rock You,2,DE - WWR - APO - 1,2008-02-04 00:00:00.000,2008-11-13 00:00:00.000,2008-11-15 00:00:00.000,2010-09-16 00:00:00.000,2010-09-16 00:00:00.000,1,1889,_N/A,Sit Down,1,Yes
163,DE,Germany,62,WWR,We Will Rock You,9,DE - WWR - TDW - 1,2009-12-11 00:00:00.000,2010-10-21 00:00:00.000,2010-10-21 00:00:00.000,2011-10-21 00:00:00.000,2011-10-21 00:00:00.000,1,1546,_N/A,Sit Down,1,Yes
164,DE,Germany,63,ELI,Elisabeth,1,DE - ELI - COL - 1,,2001-03-22 00:00:00.000,2001-03-08 00:00:00.000,2003-06-29 00:00:00.000,2003-06-29 00:00:00.000,1,1565,_N/A,Sit Down,1,Yes
165,DE,Germany,63,ELI,Elisabeth,2,DE - ELI - APO - 1,2004-11-08 00:00:00.000,2005-03-06 00:00:00.000,2005-03-09 00:00:00.000,2006-09-17 00:00:00.000,2006-09-17 00:00:00.000,1,1808,_N/A,Sit Down,1,Yes
166,DE,Germany,63,ELI,Elisabeth,9,DE - ELI - TDW - 1,2007-11-12 00:00:00.000,2008-04-20 00:00:00.000,2008-04-20 00:00:00.000,2008-09-27 00:00:00.000,2008-09-27 00:00:00.000,1,1480,_N/A,Sit Down,1,Yes
