DimPriceTypeId,PriceTypeId,PriceTypeName,PriceTypeGroup
264,MAG - MAGNET,MAGNET,MERCHANDISING
265,MERCH - MAG - MAGNET,MAGNET,MERCHANDISING
266,MERCH - MER - PROGRAMME,PROGRAMME,MERCHANDISING
267,MERCH - NOTEB - NOTE BOOK,NOTE BOOK,MERCHANDISING
268,MERCH - STYL - STYLO,STYLO,MERCHANDISING
269,NOTE - NOTE BOOK,NOTE BOOK,MERCHANDISING
270,STYL - STYLO,STYLO,MERCHANDISING
271,"PRO - 11490FP - 114,90€ FIXED PRICE","114,90€ FIXED PRICE",PROMOTION
272,"PRO - 11990FP - 119,90€ FIXED PRICE","119,90€ FIXED PRICE",PROMOTION
273,PRO - LOTTERY,LOTTERY,PROMOTION
274,PRO - MD - MARK DOWN,MARK DOWN,PROMOTION
275,PRO - T35 - TINA 35,TINA 35,PROMOTION
276,PRO- DIV - DIVERSITY,DIVERSITY,PROMOTION
277,SCE  - AFTER SHOW SWING,AFTER SHOW SWING,SERVICE
278,US - _N/A,_N/A,_N/A
279,US - _UNK,_Unknown,_Unknown
280,"PRO - 12990FP - 129,90€ FIXED PRICE","129,90€ FIXED PRICE",PROMOTION
281,PRO - 2=100 - 2 FOR 100,2 FOR 100,PROMOTION
282,PRO - 20PRF - 20% DISCOUNT + RF,20% DISCOUNT + RF,PROMOTION
283,PRO - 49FP - 49€ FIXED PRICE,49€ FIXED PRICE,PROMOTION
284,COV - COVID Voucher NL,COVID Voucher NL,COVID Rebooking
285,FP - BUS - CV - FULL PRICE (COACH TOURISM) - COVID VOUCHER,FULL PRICE (COACH TOURISM) - COVID VOUCHER,FULL PRICE
286,FP - END - CV - FULL PRICE (END CUSTOMER) - COVID VOUCHER,FULL PRICE (END CUSTOMER) - COVID VOUCHER,FULL PRICE
287,FP - SETAARR - CV - FULL PRICE (SETA ARR) - COVID VOUCHER,FULL PRICE (SETA ARR) - COVID VOUCHER,FULL PRICE
288,FP - SETATO - CV - FULL PRICE (SETA TO) - COVID VOUCHER,FULL PRICE (SETA TO) - COVID VOUCHER,FULL PRICE
289,PRO - 10P - CV - 10% DISCOUNT - COVID VOUCHER,10% DISCOUNT - COVID VOUCHER,PROMOTION
290,PRO - 15P - CV - 15% DISCOUNT - COVID VOUCHER,15% DISCOUNT - COVID VOUCHER,PROMOTION
291,PRO - 29FP - CV - 29€ FIXED PRICE - COVID VOUCHER,29€ FIXED PRICE - COVID VOUCHER,PROMOTION
292,PRO - 30P - CV - 30% DISCOUNT - COVID VOUCHER,30% DISCOUNT - COVID VOUCHER,PROMOTION
293,PRO - 30PRF - CV - 30% DISCOUNT + RF - COVID VOUCHER,30% DISCOUNT + RF - COVID VOUCHER,PROMOTION
294,PRO - 5P - CV - 5% DISCOUNT - COVID VOUCHER,5% DISCOUNT - COVID VOUCHER,PROMOTION
295,PRO - LOT - CV - LOTTERY - COVID VOUCHER,LOTTERY - COVID VOUCHER,PROMOTION
296,PRO - OTHER - CV - OTHER - COVID VOUCHER,OTHER - COVID VOUCHER,PROMOTION
297,PRO - PPRF - CV - PRODUCT PLUS + RF - COVID VOUCHER,PRODUCT PLUS + RF - COVID VOUCHER,PROMOTION
298,PRO - RF - CV - RESELLER FEE - COVID VOUCHER,RESELLER FEE - COVID VOUCHER,PROMOTION
299,PRO - OTHERRF - CV - OTHER + RF - COVID VOUCHER,OTHER + RF - COVID VOUCHER,PROMOTION
300,PRO - PP - CV - PRODUCT PLUS - COVID VOUCHER,PRODUCT PLUS - COVID VOUCHER,PROMOTION
301,PRO - 35FPRF - 35€ FIXED PRICE + RF,35€ FIXED PRICE + RF,PROMOTION
302,PRO - 10D - CV - 10€ DISCOUNT - COVID VOUCHER,10€ DISCOUNT - COVID VOUCHER,PROMOTION
303,PRO - 15DRF - CV - 15€ DISCOUNT + RF - COVID VOUCHER,15€ DISCOUNT + RF - COVID VOUCHER,PROMOTION
304,PRO - 20D - CV - 20€ DISCOUNT - COVID VOUCHER,20€ DISCOUNT - COVID VOUCHER,PROMOTION
305,PRO - 45FPRF - 45€ FIXED PRICE + RF,45€ FIXED PRICE + RF,PROMOTION
