DimProductionId,CountryCode,CountryName,ProductionCode,ProductionName,IsExpired,LicenseName,Licensor,LicenseType,ProductionId,LicenseClassification
87,NL,Netherlands,TWEE,De Tweeling,1,De Tweeling,Theater Alliantie,Musical,NL - TWEE,Drama
88,NL,Netherlands,SIMRES,Simone - Reprise sep16,1,Simone,Stage Entertainment,Musical,NL - SIMRES,Other
89,ES,Spain,CBR,El Cascanueces,0,Imperial Russian Ballet,Imperial Russian Ballet,Ballet,ES - CBR,Other
90,NL,Netherlands,HZH17,Holland Zingt Hazes 2017,1,Holland Zingt Hazes,_N/A,Concert,NL - HZH17,Concert
91,ES,Spain,TBG,The Bodyguard,0,The Bodyguard,_N/A,Musical,ES - TBG,Jukebox
92,ES,Spain,CAN,Johann Strauss. Gran concierto de año nuevo,0,Johann Strauss. Gran concierto de año nuevo,_N/A,Concert,ES - CAN,Concert
93,NL,Netherlands,OYF,On Your Feet,1,On Your Feet,The Nederlander,Musical,NL - OYF,Jukebox
94,NL,Netherlands,ELIIC,Elisabeth - In Concert,1,Elisabeth,VBW Vereinigte Bühnen Wien GmbH,Musical,NL - ELIIC,Drama
95,NL,Netherlands,WICK,Wicked,1,Wicked - The Untold Story Of The Witches Of Oz,Universal Stage Productions,Musical,NL - WICK,Child
96,NL,Netherlands,TAR,Tarzan,1,Tarzan,Disney Theatrical Productions Ltd.,Musical,NL - TAR,Child
97,NL,Netherlands,TLK04,Disney's The Lion King 2004,1,Lion King,Disney Theatrical Productions Ltd.,Musical,NL - TLK04,Child
98,NL,Netherlands,ELI,Elisabeth,1,Elisabeth,VBW Vereinigte Bühnen Wien GmbH,Musical,NL - ELI,Drama
99,NL,Netherlands,SA,Sister Act,1,Sister Act,Stage Entertainment GmbH,Musical,NL - SA,Film
100,NL,Netherlands,MP,Mary Poppins,1,Mary Poppins,Cameron Mackintosh Ltd. / Disney Theatrical Productions Ltd.,Musical,NL - MP,Child
101,NL,Netherlands,TSOM03,The Sound Of Music 2002,1,The Sound Of Music,Rodgers & Hammerstein Theatricals Europe Ltd.,Musical,NL - TSOM03,Film
102,NL,Netherlands,DD,Dirty Dancing,1,Dirty Dancing,_N/A,Musical,NL - DD,Film
103,NL,Netherlands,MM,Mamma Mia 2003,1,Mamma Mia!,Littlestar Media Production Ltd. / Andrew Treagus Associates Ltd.,Musical,NL - MM,Jukebox
104,NL,Netherlands,WWRY,We Will Rock You,1,We Will Rock You,_N/A,Musical,NL - WWRY,Jukebox
105,NL,Netherlands,MM09,Mamma Mia 2009,1,Mamma Mia!,Littlestar Media Production Ltd. / Andrew Treagus Associates Ltd.,Musical,NL - MM09,Jukebox
106,NL,Netherlands,AIDA,Aida 2001,1,Aida,Disney Theatrical Productions Ltd.,Musical,NL - AIDA,SingThrough
107,NL,Netherlands,EVITA,Evita,1,Evita,_N/A,Musical,NL - EVITA,SingThrough
108,NL,Netherlands,GHOST,Ghost,1,Ghost,_N/A,Musical,NL - GHOST,Film
109,NL,Netherlands,HGIM,Hij Gelooft In Mij 2012,1,Hij Gelooft In Mij,_N/A,Musical,NL - HGIM,Jukebox
110,NL,Netherlands,JERSEY,Jersey Boys,1,Jersey Boys,_N/A,Musical,NL - JERSEY,Jukebox
111,NL,Netherlands,SAIGON,Miss Saigon,1,Miss Saigon,_N/A,Musical,NL - SAIGON,SingThrough
112,NL,Netherlands,SNF,Saturday Night Fever,1,Saturday Night Fever,_N/A,Musical,NL - SNF,Film
113,NL,Netherlands,WIZ,The Wiz,1,The Wiz,_N/A,Musical,NL - WIZ,Child
114,NL,Netherlands,MERMAID,Disney's The Little Mermaid,1,The Little Mermaid,Disney Theatrical Productions Ltd.,Musical,NL - MERMAID,Child
115,NL,Netherlands,JOSEPH,Joseph And The Amazing Technicolor Dreamcoat,1,Joseph And The Amazing Technicolor Dreamcoat,_N/A,Musical,NL - JOSEPH,Drama
116,NL,Netherlands,3M,3 Musketiers,1,"3 Musketiers, de Musical",_N/A,Musical,NL - 3M,Drama
117,NL,Netherlands,BTB05,Disney's Beauty And The Beast 2005,1,Beauty and the Beast,Disney Theatrical Productions Ltd.,Musical,NL - BTB05,Child
118,NL,Netherlands,CDR07,Ciske De Rat 2007,1,Ciske de Rat,Stage Entertainment,Musical,NL - CDR07,Child
119,NL,Netherlands,HZH13,Holland Zingt Hazes 2013,1,Holland Zingt Hazes,_N/A,Concert,NL - HZH13,Concert
120,NL,Netherlands,HZH14,Holland Zingt Hazes 2014,1,Holland Zingt Hazes,_N/A,Concert,NL - HZH14,Concert
121,NL,Netherlands,MIS,Les Miserables,1,Les Miserables,Cameron Mackintosh Ltd.,Musical,NL - MIS,SingThrough
122,NL,Netherlands,WARHORSE,War Horse,1,War Horse,_N/A,Musical,NL - WARHORSE,Film
123,DE,Germany,SUB,Die Schöne und das Biest,1,Beauty and the Beast,Disney Theatrical Productions Ltd.,Musical,DE - SUB,Child
124,DE,Germany,CAT,Cats,1,Cats,Really Useful Group Ltd.,Musical,DE - CAT,SingThrough
125,DE,Germany,GHO,Ghost,1,Ghost,_N/A,Musical,DE - GHO,Film
126,DE,Germany,LEM,Les Misérables,1,Les Miserables,Cameron Mackintosh Ltd.,Musical,DE - LEM,SingThrough
127,DE,Germany,SDM,Der Schuh des Manitu,1,Der Schuh des Manitu,_N/A,Musical,DE - SDM,Film
128,DE,Germany,AIDA,Aida,1,Aida,Disney Theatrical Productions Ltd.,Musical,DE - AIDA,SingThrough
129,DE,Germany,IWS,Ich will Spaß,1,Ich will Spaß!,_N/A,Musical,DE - IWS,Drama
130,DE,Germany,BUD,Buddy,1,Buddy,_N/A,Musical,DE - BUD,Jukebox
131,DE,Germany,42ND,42nd Street,1,42nd Street,_N/A,Musical,DE - 42ND,Drama
132,DE,Germany,REB,Rebecca,1,Rebecca,_N/A,Musical,DE - REB,Drama
133,FR,France,GREA,Grease,0,Grease,Almo,Musical,FR - GREA,NULL
